Date,Open,High,Low,Close,Adj Close,Volume
2020-10-22,11.000000,11.106667,11.000000,11.073333,11.073333,423750
2020-10-23,11.060000,11.133333,10.900000,10.933333,10.933333,187350
2020-10-26,10.766667,10.820000,10.740000,10.786667,10.786667,84150
2020-10-27,10.666667,10.666667,10.600000,10.613333,10.613333,331800
2020-10-28,10.646667,10.646667,10.293333,10.293333,10.293333,154350
2020-10-29,9.980000,10.540000,9.980000,10.286667,10.286667,313950
2020-10-30,10.220000,10.226667,10.086667,10.206667,10.206667,125100
2020-11-02,10.193333,10.393333,10.193333,10.346667,10.346667,243000
2020-11-03,10.493333,10.580000,10.486667,10.540000,10.540000,147750
2020-11-04,10.573333,10.573333,10.160000,10.420000,10.420000,218250
2020-11-05,10.226667,10.453333,10.166667,10.320000,10.320000,98250
2020-11-06,10.126667,10.760000,10.126667,10.366667,10.366667,124800
2020-11-09,10.380000,10.453333,10.306667,10.366667,10.366667,179400
2020-11-10,10.646667,10.993333,10.646667,10.953333,10.953333,139800
2020-11-11,10.993333,10.993333,10.860000,10.880000,10.880000,48000
2020-11-12,10.460000,10.720000,10.460000,10.593333,10.593333,128700
2020-11-13,10.500000,10.680000,10.460000,10.660000,10.660000,90000
2020-11-16,10.686667,10.946667,10.686667,10.746667,10.746667,64050
2020-11-17,10.873333,10.913333,10.833333,10.873333,10.873333,123900
2020-11-18,10.580000,10.853333,10.580000,10.746667,10.746667,47250
2020-11-19,10.633333,10.706667,10.633333,10.706667,10.706667,52200
2020-11-20,10.326667,10.726667,10.326667,10.680000,10.680000,61650
2020-11-23,10.560000,10.993333,10.560000,10.666667,10.666667,109950
2020-11-24,10.573333,11.000000,10.573333,10.880000,10.880000,88950
2020-11-25,10.926667,11.020000,10.913333,10.966667,10.966667,49500
2020-11-27,11.000000,11.273333,10.900000,10.900000,10.900000,22500
2020-11-30,10.333333,10.653333,10.333333,10.486667,10.486667,78150
2020-12-01,10.493333,10.733333,10.493333,10.713333,10.713333,73050
2020-12-02,11.000000,11.026667,10.813333,10.973333,10.973333,51750
2020-12-03,11.106667,11.106667,10.773333,10.893333,10.893333,76500
2020-12-04,11.026667,11.286667,11.026667,11.286667,11.286667,67350
2020-12-07,11.126667,11.200000,11.100000,11.113333,11.113333,39150
2020-12-08,10.653333,11.113333,10.653333,10.980000,10.980000,186150
2020-12-09,11.273333,11.273333,11.020000,11.080000,11.080000,71400
2020-12-10,11.513333,11.533333,11.466667,11.500000,11.500000,33300
2020-12-11,11.500000,11.560000,11.446667,11.553333,11.553333,51900
2020-12-14,11.720000,11.720000,11.573333,11.573333,11.573333,39150
2020-12-15,11.466667,11.640000,11.466667,11.573333,11.573333,63000
2020-12-16,11.360000,11.466667,11.360000,11.426667,11.426667,64800
2020-12-17,11.600000,11.600000,11.306667,11.333333,11.333333,139350
2020-12-18,11.433333,11.606667,11.433333,11.526667,11.526667,79950
2020-12-21,11.293333,11.293333,11.066667,11.226667,11.226667,67800
2020-12-22,11.346667,11.586667,11.220000,11.293333,11.293333,100200
2020-12-23,11.340000,11.386667,11.320000,11.353333,11.353333,41400
2020-12-24,11.626667,11.626667,11.526667,11.560000,11.560000,39300
2020-12-28,11.806667,11.806667,11.746667,11.766667,11.766667,52050
2020-12-29,11.960000,11.960000,11.846667,11.886667,11.886667,65700
2020-12-30,11.846667,11.893333,11.780000,11.780000,11.780000,98400
2020-12-31,11.600000,12.060000,11.600000,11.840000,11.840000,31650
2021-01-04,11.800000,11.846667,11.680000,11.726667,11.726667,65250
2021-01-05,11.766667,11.766667,11.653333,11.700000,11.700000,65100
2021-01-06,12.386667,12.386667,12.020000,12.146667,12.146667,126000
2021-01-07,12.513333,12.573333,12.460000,12.533333,12.533333,72150
2021-01-08,12.873333,13.186667,12.800000,12.913333,12.913333,45300
2021-01-11,12.626667,12.900000,12.626667,12.686667,12.686667,117600
2021-01-12,12.693333,12.866667,12.500000,12.866667,12.866667,82350
2021-01-13,12.473333,12.600000,12.473333,12.560000,12.560000,105750
2021-01-14,12.840000,12.840000,12.686667,12.726667,12.726667,68100
2021-01-15,12.773333,12.806667,12.673333,12.693333,12.693333,80550
2021-01-19,12.693333,12.693333,12.320000,12.400000,12.400000,152550
2021-01-20,12.826667,12.826667,12.206667,12.686667,12.686667,55350
2021-01-21,12.733333,12.733333,12.520000,12.646667,12.646667,46200
2021-01-22,12.573333,12.666667,12.573333,12.620000,12.620000,106350
2021-01-25,12.800000,12.806667,12.720000,12.806667,12.806667,139200
